CVE,Published,AnalysisTime,Difference
CVE-2015-10128,2024-01-02 14:15:00,2024-01-09 14:11:20.097,6 days 23:56:20.097000
CVE-2016-20021,2024-01-12 03:15:00,2024-01-22 16:27:08.227,10 days 13:12:08.227000
CVE-2017-20188,2024-01-02 15:15:00,2024-01-09 14:28:14.880,6 days 23:13:14.880000
CVE-2018-25095,2024-01-08 19:15:00,2024-01-11 18:42:09.650,2 days 23:27:09.650000
CVE-2018-25097,2024-01-02 16:15:00,2024-01-09 15:30:05.460,6 days 23:15:05.460000
CVE-2020-13878,2024-01-05 08:15:00,2024-01-10 19:59:28.437,5 days 11:44:28.437000
CVE-2020-13879,2024-01-05 08:15:00,2024-01-10 19:59:43.733,5 days 11:44:43.733000
CVE-2020-13880,2024-01-05 09:15:00,2024-01-10 19:59:52.850,5 days 10:44:52.850000
CVE-2020-26623,2024-01-02 22:15:00,2024-01-09 01:48:52.047,6 days 03:33:52.047000
CVE-2020-26624,2024-01-02 22:15:00,2024-01-09 01:54:04.830,6 days 03:39:04.830000
CVE-2020-26625,2024-01-02 22:15:00,2024-01-09 13:26:22.490,6 days 15:11:22.490000
CVE-2020-26627,2024-01-10 09:15:00,2024-01-16 15:20:26.797,6 days 06:05:26.797000
CVE-2020-26628,2024-01-10 09:15:00,2024-01-16 15:20:14.197,6 days 06:05:14.197000
CVE-2020-26629,2024-01-10 09:15:00,2024-01-16 15:19:55.967,6 days 06:04:55.967000
CVE-2020-26630,2024-01-10 09:15:00,2024-01-16 15:19:40.560,6 days 06:04:40.560000
CVE-2021-3600,2024-01-08 19:15:00,2024-01-11 18:40:05.360,2 days 23:25:05.360000
CVE-2021-40367,2024-01-04 12:15:00,2024-01-10 17:03:28.083,6 days 04:48:28.083000
CVE-2021-42028,2024-01-04 12:15:00,2024-01-10 17:02:58.877,6 days 04:47:58.877000
CVE-2021-45465,2024-01-04 12:15:00,2024-01-10 17:02:35.987,6 days 04:47:35.987000
CVE-2022-2081,2024-01-04 10:15:00,2024-01-10 16:39:45.510,6 days 06:24:45.510000
